Distance_(mm),Gray_Value
0.00000,46.413
0.00476,46.711
0.00952,47.372
0.01428,47.635
0.01905,48.099
0.02381,48.586
0.02857,49.129
0.03333,49.743
0.03809,50.222
0.04285,50.675
0.04762,51.451
0.05238,51.407
0.05714,51.413
0.06190,51.513
0.06666,51.145
0.07142,51.055
0.07618,51.376
0.08095,51.041
0.08571,50.907
0.09047,50.568
0.09523,50.307
0.09999,50.247
0.10475,50.139
0.10952,49.961
0.11428,49.914
0.11904,49.885
0.12380,50.002
0.12856,50.231
0.13332,50.414
0.13808,49.917
0.14285,49.520
0.14761,49.610
0.15237,49.725
0.15713,49.660
0.16189,49.894
0.16665,50.053
0.17142,50.078
0.17618,50.049
0.18094,50.220
0.18570,50.116
0.19046,50.242
0.19522,50.263
0.19998,50.279
0.20475,49.580
0.20951,48.804
0.21427,47.834
0.21903,46.298
0.22379,45.106
0.22855,43.626
0.23332,42.549
0.23808,41.866
0.24284,41.633
0.24760,41.661
0.25236,42.088
0.25712,43.570
0.26188,45.159
0.26665,47.413
0.27141,49.250
0.27617,51.399
0.28093,52.473
0.28569,53.462
0.29045,53.721
0.29522,53.303
0.29998,52.815
0.30474,51.577
0.30950,49.280
0.31426,47.106
0.31902,43.991
0.32378,41.748
0.32855,39.034
0.33331,38.511
0.33807,38.494
0.34283,40.379
0.34759,42.778
0.35235,48.497
0.35712,52.677
0.36188,58.929
0.36664,63.268
0.37140,68.293
0.37616,71.272
0.38092,73.455
0.38568,74.252
0.39045,73.335
0.39521,72.709
0.39997,69.963
0.40473,66.325
0.40949,61.831
0.41425,58.189
0.41902,55.459
0.42378,53.340
0.42854,54.206
0.43330,54.698
0.43806,61.000
0.44282,65.286
0.44758,76.365
0.45235,82.455
0.45711,94.748
0.46187,100.485
0.46663,110.243
0.47139,115.000
0.47615,120.616
0.48092,123.610
0.48568,123.845
0.49044,125.272
0.49520,123.090
0.49996,121.078
0.50472,115.961
0.50949,110.219
0.51425,102.711
0.51901,96.053
0.52377,89.783
0.52853,82.647
0.53329,79.753
0.53805,78.903
0.54282,81.538
0.54758,84.367
0.55234,95.695
0.55710,102.764
0.56186,114.310
0.56662,122.078
0.57139,129.658
0.57615,135.404
0.58091,136.549
0.58567,139.684
0.59043,136.781
0.59519,133.538
0.59995,126.453
0.60472,117.205
0.60948,107.376
0.61424,94.508
0.61900,87.628
0.62376,77.929
0.62852,74.649
0.63329,70.233
0.63805,71.164
0.64281,71.642
0.64757,78.205
0.65233,83.508
0.65709,93.155
0.66185,100.238
0.66662,107.982
0.67138,114.317
0.67614,118.074
0.68090,122.432
0.68566,122.231
0.69042,123.051
0.69519,120.312
0.69995,118.487
0.70471,111.580
0.70947,104.457
0.71423,96.788
0.71899,86.123
0.72375,76.718
0.72852,65.011
0.73328,57.122
0.73804,46.681
0.74280,42.455
0.74756,38.160
0.75232,37.448
0.75709,38.212
0.76185,41.496
0.76661,45.571
0.77137,51.293
0.77613,55.446
0.78089,58.586
0.78565,60.557
0.79042,60.827
0.79518,60.547
0.79994,57.938
0.80470,54.720
0.80946,49.665
0.81422,44.840
0.81899,38.039
0.82375,32.102
0.82851,26.083
0.83327,23.354
0.83803,21.414
0.84279,21.132
0.84755,21.032
0.85232,22.039
0.85708,23.630
0.86184,26.055
0.86660,28.369
0.87136,30.434
0.87612,31.056
0.88089,31.728
0.88565,31.219
0.89041,30.457
0.89517,28.222
0.89993,26.115
0.90469,22.868
0.90945,20.998
0.91422,19.035
0.91898,18.171
0.92374,17.549
0.92850,17.279
0.93326,17.173
0.93802,17.219
0.94279,17.122
0.94755,17.425
0.95231,17.508
0.95707,18.065
0.96183,18.330
0.96659,18.728
0.97135,18.533
0.97612,18.437
0.98088,17.707
0.98564,17.190
0.99040,16.418
0.99516,15.907
0.99992,15.335
1.00469,15.160
1.00945,14.917
1.01421,14.817
1.01897,14.728
1.02373,14.875
1.02849,14.938
1.03325,15.118
1.03802,15.007
1.04278,15.046
1.04754,14.808
1.05230,14.683
1.05706,14.575
1.06182,14.395
1.06659,14.201
1.07135,14.049
1.07611,14.122
1.08087,14.071
1.08563,14.076
1.09039,14.039
1.09515,14.115
1.09992,14.090
1.10468,14.039
1.10944,14.012
